customer_id,segment,home_city,home_state,home_lat,home_lon,primary_device_id,known_device_count,rolling_mean_30d,rolling_sd_30d,txn_count_30d,account_age_days,kyc_status,last_updated
CUST000001,SALARIED_URBAN,Guwahati,AS,26.145,91.736,DVC-149d8bcb26,1,920.08,300.94,57,2637,FULL,2026-08-31
CUST000002,SALARIED_URBAN,Lucknow,UP,26.847,80.947,DVC-b6bcd4b543,1,2496.44,1213.64,41,1909,FULL,2026-08-31
CUST000003,GIG_WORKER,Chandigarh,CH,30.734,76.779,DVC-16690ac14f,1,387.92,208.82,45,2824,FULL,2026-08-31
CUST000004,GIG_WORKER,Indore,MP,22.72,75.858,DVC-9a8c354413,1,554.01,341.58,39,374,FULL,2026-08-31
CUST000005,SALARIED_URBAN,Chennai,TN,13.083,80.27,DVC-e6630902ee,1,2083.5,1034.61,45,970,FULL,2026-08-31
CUST000006,GIG_WORKER,Panaji,GA,15.491,73.828,DVC-e78eda622e,2,986.27,570.91,37,859,FULL,2026-08-31
CUST000007,SMALL_BUSINESS,Hyderabad,TG,17.385,78.487,DVC-b434c8028c,3,2649.85,1201.97,33,2756,FULL,2026-08-31
CUST000008,SALARIED_URBAN,Nagpur,MH,21.146,79.088,DVC-40c365b0b2,1,2400.71,886.46,26,759,FULL,2026-08-31
CUST000009,SALARIED_URBAN,Chandigarh,CH,30.734,76.779,DVC-503c0fd9a3,1,1702.22,826.42,26,394,FULL,2026-08-31
CUST000010,SALARIED_URBAN,Indore,MP,22.72,75.858,DVC-37056d4f0d,2,1713.01,712.3,34,2724,FULL,2026-08-31
CUST000011,SALARIED_URBAN,Chennai,TN,13.083,80.27,DVC-cc8521828a,1,1542.67,686.1,6,1415,FULL,2026-08-31
CUST000012,SMALL_BUSINESS,Kochi,KL,9.932,76.267,DVC-0a282ef3f4,2,2634.73,1492.96,37,1349,FULL,2026-08-31
CUST000013,SALARIED_URBAN,Panaji,GA,15.491,73.828,DVC-f1bc6da83a,2,1838.41,753.74,32,1240,FULL,2026-08-31
