customer_id,device_id,device_type,is_primary,first_seen_date,last_seen_date,days_since_last_seen
CUST000001,DVC-149d8bcb26,ANDROID,Y,2024-11-30,2026-08-30,1
CUST000002,DVC-b6bcd4b543,ANDROID,Y,2025-02-21,2026-08-26,5
CUST000003,DVC-16690ac14f,ANDROID,Y,2026-04-21,2026-08-30,1
CUST000004,DVC-9a8c354413,IOS,Y,2026-04-14,2026-08-26,5
CUST000005,DVC-e6630902ee,WEB,Y,2024-10-22,2026-08-30,1
CUST000006,DVC-e78eda622e,WEB,Y,2025-01-18,2026-08-25,6
CUST000006,DVC-69fc14a975,ANDROID,N,2026-03-22,2026-06-15,77
CUST000007,DVC-b434c8028c,IOS,Y,2026-03-15,2026-08-27,4
CUST000007,DVC-54ccee8c8e,IOS,N,2024-04-26,2026-06-27,65
CUST000007,DVC-fe0e3e1d8b,ANDROID,N,2024-07-04,2026-08-04,27
CUST000008,DVC-40c365b0b2,IOS,Y,2025-04-25,2026-08-31,0
CUST000009,DVC-503c0fd9a3,IOS,Y,2026-06-15,2026-08-31,0
CUST000010,DVC-37056d4f0d,ANDROID,Y,2024-03-18,2026-08-27,4
CUST000010,DVC-d8749bde08,WEB,N,2026-04-05,2026-07-09,53
CUST000011,DVC-cc8521828a,ANDROID,Y,2025-05-08,2026-08-28,3
CUST000012,DVC-0a282ef3f4,ANDROID,Y,2024-11-06,2026-08-28,3
CUST000012,DVC-f91898c091,ANDROID,N,2025-06-20,2026-08-13,18
CUST000013,DVC-f1bc6da83a,ANDROID,Y,2024-05-31,2026-08-25,6
CUST000013,DVC-bd7907334b,ANDROID,N,2025-10-24,2026-08-20,11
CUST000014,DVC-ef72eac1e0,ANDROID,Y,2025-05-06,2026-08-27,4
CUST000015,DVC-0655a6faa9,ANDROID,Y,2025-12-02,2026-08-30,1
CUST000016,DVC-3836793f2b,ANDROID,Y,2026-06-30,2026-08-30,1
CUST000017,DVC-074e190c2b,ANDROID,Y,2025-07-14,2026-08-30,1
CUST000017,DVC-718c0bcd50,ANDROID,N,2024-06-18,2026-07-13,49
CUST000018,DVC-33aafd9a7c,ANDROID,Y,2025-01-27,2026-08-28,3
CUST000019,DVC-fca00c50bb,ANDROID,Y,2026-06-26,2026-08-26,5
CUST000019,DVC-0ada4fadbe,ANDROID,N,2024-07-11,2026-08-08,23
CUST000020,DVC-54290ed498,ANDROID,Y,2024-06-18,2026-08-27,4
CUST000021,DVC-1e61084296,ANDROID,Y,2025-09-29,2026-08-25,6
