merchant_id,merchant_name,mcc,mcc_description,city,state,onboarding_date,merchant_age_days,risk_tier,avg_ticket_size,settlement_cycle,channel,is_active
MERCH000001,Bharat Retail,5732,Electronics Stores,Chandigarh,CH,2022-12-24,1346,MEDIUM,13465.84,T+2,POS_CARD,Y
MERCH000002,Nimbus Ventures,5912,Drug Stores / Pharmacies,Nagpur,MH,2024-09-03,727,LOW,735.28,T+1,ONLINE_CHECKOUT,Y
MERCH000003,Nova Services,7011,Hotels / Lodging,Kolkata,WB,2022-12-03,1367,MEDIUM,5329.83,T+1,QR_INSTORE,Y
MERCH000004,Bharat Ventures,5732,Electronics Stores,Guwahati,AS,2025-02-28,549,MEDIUM,12153.23,T+2,ONLINE_CHECKOUT,Y
MERCH000005,Nimbus Services,5814,Fast Food Restaurants,Chandigarh,CH,2022-09-29,1432,LOW,344.1,T+1,ONLINE_CHECKOUT,Y
MERCH000006,Lakshmi Hub,4121,Taxicabs / Ride Hailing,Chennai,TN,2021-05-25,1924,LOW,337.33,T+0,ONLINE_CHECKOUT,Y
MERCH000007,Metro Hub,5732,Electronics Stores,Chandigarh,CH,2026-02-02,210,MEDIUM,12191.63,T+1,QR_INSTORE,Y
MERCH000008,Krishna Supply,7011,Hotels / Lodging,Bengaluru,KA,2021-06-08,1910,MEDIUM,9656.15,T+1,QR_INSTORE,Y
MERCH000009,Metro Solutions,5999,Miscellaneous Retail,Indore,MP,2020-09-07,2184,MEDIUM,614.29,T+1,QR_INSTORE,N
MERCH000010,Urban Retail,5732,Electronics Stores,Pune,MH,2021-04-24,1955,MEDIUM,11318.78,T+1,QR_INSTORE,Y
MERCH000011,Anand & Co,5411,Grocery Stores / Supermarkets,Kochi,KL,2025-01-11,597,LOW,593.24,T+1,QR_INSTORE,Y
MERCH000012,Bharat & Co,5411,Grocery Stores / Supermarkets,Indore,MP,2022-11-18,1382,LOW,1012.11,T+1,POS_CARD,Y
MERCH000013,Lakshmi Supply,4900,Utilities - Electric/Gas/Water,Hyderabad,TG,2024-07-24,768,LOW,1672.68,T+2,QR_INSTORE,Y
MERCH000014,Nimbus Traders,5651,Family Clothing Stores,Mumbai,MH,2021-06-11,1907,MEDIUM,1097.52,T+1,POS_CARD,Y
MERCH000015,Rohan Supply,5411,Grocery Stores / Supermarkets,Panaji,GA,2023-12-02,1003,LOW,1123.63,T+1,QR_INSTORE,Y
MERCH000016,Urban & Co,5814,Fast Food Restaurants,Bengaluru,KA,2026-03-09,175,LOW,217.99,T+1,POS_CARD,Y
MERCH000017,Rohan & Co,5651,Family Clothing Stores,Lucknow,UP,2023-06-22,1166,MEDIUM,2173.64,T+1,ONLINE_CHECKOUT,Y
MERCH000018,Krishna & Co,5411,Grocery Stores / Supermarkets,Jaipur,RJ,2022-07-05,1518,LOW,1125.54,T+1,QR_INSTORE,Y
MERCH000019,Kalpana Traders,7011,Hotels / Lodging,Kochi,KL,2020-11-10,2120,MEDIUM,4151.83,T+1,POS_CARD,Y
MERCH000020,Metro Enterprises,4900,Utilities - Electric/Gas/Water,Delhi,DL,2023-10-22,1044,LOW,1678.97,T+1,QR_INSTORE,Y
MERCH000021,Kalpana Enterprises,4900,Utilities - Electric/Gas/Water,Bengaluru,KA,2021-11-04,1761,LOW,1356.9,T+1,QR_INSTORE,Y
MERCH000022,Aster Retail,5999,Miscellaneous Retail,Kolkata,WB,2022-02-28,1645,MEDIUM,1019.18,T+2,ONLINE_CHECKOUT,Y
MERCH000023,Urban Depot,4121,Taxicabs / Ride Hailing,Lucknow,UP,2025-08-03,393,LOW,351.22,T+1,POS_CARD,Y
MERCH000024,Lakshmi Enterprises,5732,Electronics Stores,Panaji,GA,2025-08-27,369,MEDIUM,17742.82,T+1,ONLINE_CHECKOUT,Y
MERCH000025,Nova Services,5541,Service Stations (Fuel),Delhi,DL,2024-10-28,672,LOW,2022.37,T+1,QR_INSTORE,Y
MERCH000026,Lakshmi Ventures,4121,Taxicabs / Ride Hailing,Delhi,DL,2023-06-09,1179,LOW,306.76,T+1,POS_CARD,Y
MERCH000027,Nimbus Traders,5732,Electronics Stores,Jaipur,RJ,2025-02-17,560,MEDIUM,7532.8,T+1,ONLINE_CHECKOUT,Y
MERCH000028,Sagar Supply,4900,Utilities - Electric/Gas/Water,Hyderabad,TG,2024-07-17,775,LOW,2737.52,T+1,ONLINE_CHECKOUT,Y
MERCH000029,Shree Depot,5999,Miscellaneous Retail,Mumbai,MH,2020-09-18,2173,MEDIUM,630.53,T+1,ONLINE_CHECKOUT,Y
